	alpha	l1_ratio
ABL2	0.001	0.05
ACVR2A	1.0	0.5
AFF3	0.001	0.05
ALK	0.01	0.3
AMER1	1.0	0.05
APC	1.0	0.3
ARHGAP35	1.0	0.1
ARID1A	0.1	0.05
ARID1B	0.1	0.1
ARID2	10.0	0.0
ARNT	10.0	0.05
ASXL1	1.0	0.9
ASXL2	1.0	0.3
ATF7IP	0.001	0.5
ATM	1.0	0.0
ATR	0.01	0.7
ATRX	10.0	0.0
BAP1	0.001	0.05
BCL6	10.0	0.0
BCL9	0.1	0.7
BCL9L	10.0	0.1
BCOR	0.001	0.3
BCORL1	0.01	0.5
BRAF	0.0001	0.3
BRCA2	10.0	0.05
BRD4	10.0	0.05
CACNA1A	1.0	0.3
CAMTA1	0.0001	1.0
CARD11	0.01	0.9
CASP8	0.1	0.05
CCND1	10.0	0.0
CCND2	0.1	0.5
CCNE1	10.0	0.0
CD79B	0.0001	1.0
CDH1	0.0001	0.3
CDH11	10.0	0.05
CDK12	0.01	0.05
CDK4	0.01	0.0
CDK6	10.0	0.1
CDKN1A	10.0	0.1
CDKN1B	0.0001	0.5
CDKN2A	1.0	0.0
CHD3	0.1	0.1
CHD4	1.0	0.05
CHD8	1.0	0.5
CIC	0.1	0.3
CLTC	0.1	0.05
CREBBP	10.0	0.0
CTCF	0.01	0.0
CTNNB1	10.0	0.0
CUX1	0.001	1.0
DDR2	1.0	0.0
DDX5	0.0001	0.1
DEK	1.0	0.9
DICER1	0.1	0.05
DNMT1	1.0	0.9
EGFR	10.0	0.0
ELF3	10.0	0.1
ELK4	0.1	1.0
EP300	0.01	0.1
ERBB2	0.001	0.0
ERBB3	1.0	1.0
ERBB4	1.0	0.3
ERCC2	1.0	0.1
ESR1	0.0001	0.3
ETV1	0.01	0.9
ETV5	10.0	0.0
EZH2	10.0	0.1
FAS	1.0	0.05
FAT1	10.0	0.0
FAT4	10.0	0.0
FBXW7	0.01	0.1
FCGR2B	10.0	0.05
FCRL4	0.1	1.0
FGFR1	0.0001	0.1
FGFR2	10.0	0.1
FGFR3	0.01	0.3
FGFR4	1.0	0.7
FHIT	1.0	0.05
FLT4	1.0	0.5
FOXA1	0.01	0.05
FOXL2	1.0	0.9
FOXO1	0.1	0.05
FOXO3	0.0001	0.1
FUBP1	0.01	0.0
GATA2	1.0	0.9
GATA3	1.0	0.05
GNAS	10.0	0.1
GRIN2A	0.1	0.9
GTF2I	0.0001	0.0
H3F3A	0.001	1.0
HEY1	1.0	0.3
HIST1H3B	1.0	0.9
HLF	0.01	0.7
HMGA2	1.0	0.1
IDH1	0.0001	0.7
IDH2	1.0	0.5
IKBKB	1.0	0.7
IKZF3	0.01	0.05
IL7R	0.01	0.9
INPPL1	1.0	0.0
IRS4	10.0	0.05
JAK1	1.0	0.05
JAK3	1.0	0.05
KANSL1	0.0001	0.1
KAT6A	0.001	1.0
KDM5A	1.0	0.1
KDM6A	1.0	0.0
KDR	0.001	0.7
KEAP1	10.0	0.0
KIT	10.0	0.0
KLF5	0.1	0.9
KMT2A	0.001	0.0
KMT2B	10.0	0.05
KMT2C	0.001	1.0
KMT2D	10.0	0.0
KRAS	10.0	0.0
LPP	10.0	0.0
LRP1B	10.0	0.0
MACF1	10.0	0.05
MAP2K1	1.0	0.5
MAP2K4	10.0	0.0
MAP3K1	1.0	0.0
MAP3K13	0.001	0.1
MDM2	0.01	0.1
MDM4	0.1	0.1
MECOM	10.0	0.0
MED12	0.001	1.0
MET	0.0001	0.1
MGA	1.0	0.05
MITF	10.0	0.3
MSI2	0.01	0.05
MTOR	0.001	0.7
MYC	0.1	0.0
MYCL	1.0	1.0
MYH9	0.001	1.0
NCOA2	1.0	0.0
NCOR1	1.0	0.05
NCOR2	0.001	0.5
NF1	0.01	0.3
NF2	0.01	0.5
NFATC2	0.1	0.1
NFE2L2	1.0	0.0
NIPBL	1.0	1.0
NKX2-1	0.001	0.7
NOTCH1	10.0	0.05
NOTCH2	0.001	0.3
NRAS	1.0	0.05
NRG1	0.001	1.0
NSD1	10.0	0.0
NTRK1	1.0	0.05
NTRK3	10.0	0.1
NUTM1	0.01	0.9
PBRM1	0.1	0.05
PBX1	0.1	0.0
PDGFRA	10.0	1.0
PIK3CA	10.0	0.0
PIK3CB	1.0	0.5
PIK3CG	0.01	0.7
PIK3R1	0.01	0.05
PLXNB2	0.001	0.05
POLE	0.0001	1.0
POLQ	0.0001	0.1
PPM1D	0.01	0.3
PPP2R1A	1.0	0.0
PRDM1	10.0	0.05
PREX2	1.0	0.5
PSIP1	1.0	0.05
PTEN	10.0	0.0
PTPN13	1.0	0.5
PTPRB	1.0	0.5
PTPRC	1.0	1.0
PTPRK	10.0	0.3
PTPRT	1.0	0.05
RAC1	10.0	0.1
RAD21	1.0	0.05
RAF1	0.01	0.5
RANBP2	0.0001	0.3
RARA	1.0	0.3
RASA1	0.01	0.3
RB1	10.0	0.0
RBM10	0.1	0.0
RNF43	10.0	0.1
ROS1	1.0	1.0
RPL22	10.0	0.3
RUNX1T1	1.0	0.0
SALL4	10.0	0.1
SCAF4	0.01	0.3
SETBP1	1.0	0.9
SETD2	0.1	0.3
SMAD4	10.0	0.0
SMARCA4	1.0	0.05
SOS1	0.01	0.1
SOX17	1.0	1.0
SOX2	10.0	0.0
SOX9	10.0	0.0
SPEN	1.0	0.1
SPOP	0.1	0.05
STAG2	0.001	1.0
STIL	1.0	0.5
STK11	0.0001	0.3
TCF7L2	0.1	0.9
TERT	0.0001	0.0
TET1	1.0	0.1
TP53	1.0	0.0
TP63	10.0	0.0
TRRAP	0.1	0.0
TSC1	0.1	0.9
UBR5	0.001	0.7
UNCX	1.0	0.5
USP6	10.0	0.3
USP9X	1.0	0.5
VHL	0.1	0.5
WWTR1	0.0001	0.3
ZBTB16	1.0	0.1
ZFHX3	0.001	0.1
ZNF521	0.1	0.1
