	alpha	l1_ratio
ABL2	0.1	0.3
ACVR2A	1.0	1.0
AFF3	1.0	0.0
ALK	1.0	0.5
AMER1	10.0	0.05
APC	1.0	0.05
ARHGAP35	1.0	0.3
ARID1A	0.0001	0.3
ARID1B	0.01	0.7
ARID2	0.001	0.7
ARNT	0.1	0.3
ASXL1	0.1	0.7
ASXL2	1.0	1.0
ATF7IP	0.1	0.5
ATM	0.01	0.3
ATR	0.0001	0.5
ATRX	1.0	0.0
BAP1	0.0001	0.05
BCL6	0.001	0.1
BCL9	0.001	0.1
BCL9L	0.001	1.0
BCOR	0.001	0.9
BCORL1	0.1	0.9
BRAF	10.0	0.0
BRCA2	0.1	0.1
BRD4	10.0	0.1
CACNA1A	0.001	0.0
CAMTA1	0.0001	0.9
CARD11	0.1	0.3
CASP8	0.1	0.0
CCND1	0.001	0.0
CCND2	1.0	1.0
CCNE1	10.0	0.0
CD79B	10.0	0.0
CDH1	0.01	0.0
CDH11	1.0	0.5
CDK12	10.0	0.1
CDK4	10.0	0.0
CDK6	0.1	0.7
CDKN1A	1.0	0.5
CDKN1B	1.0	1.0
CDKN2A	1.0	0.0
CHD3	1.0	0.3
CHD4	10.0	0.0
CHD8	1.0	0.7
CIC	0.001	0.1
CLTC	1.0	0.5
CREBBP	1.0	0.7
CTCF	0.1	0.1
CTNNB1	10.0	0.0
CUX1	1.0	0.3
DDR2	0.001	0.3
DDX5	0.001	0.5
DEK	10.0	0.05
DICER1	0.0001	0.05
DNMT1	1.0	0.05
EGFR	10.0	0.0
ELF3	10.0	1.0
ELK4	0.1	1.0
EP300	1.0	0.05
ERBB2	0.001	0.05
ERBB3	1.0	0.05
ERBB4	0.0001	0.05
ERCC2	0.001	0.7
ESR1	1.0	0.05
ETV1	1.0	0.9
ETV5	10.0	0.0
EZH2	0.001	1.0
FAS	0.0001	0.0
FAT1	10.0	0.0
FAT4	1.0	0.9
FBXW7	0.1	0.0
FCGR2B	0.01	0.0
FCRL4	0.1	0.7
FGFR1	0.1	0.1
FGFR2	1.0	0.5
FGFR3	10.0	0.0
FGFR4	1.0	0.5
FHIT	10.0	0.05
FLT4	0.001	0.1
FOXA1	0.001	0.05
FOXL2	0.001	0.3
FOXO1	10.0	0.0
FOXO3	0.1	0.7
FUBP1	0.01	0.5
GATA2	0.1	0.3
GATA3	0.0001	0.05
GNAS	1.0	0.9
GRIN2A	0.01	1.0
GTF2I	1.0	0.0
H3F3A	1.0	0.3
HEY1	1.0	0.05
HIST1H3B	0.1	0.5
HLF	1.0	0.7
HMGA2	1.0	0.1
IDH1	0.001	0.7
IDH2	10.0	0.0
IKBKB	1.0	0.5
IKZF3	0.0001	0.3
IL7R	0.1	1.0
INPPL1	1.0	0.3
IRS4	0.0001	0.1
JAK1	10.0	0.0
JAK3	1.0	0.05
KANSL1	0.001	0.5
KAT6A	0.01	0.3
KDM5A	1.0	0.5
KDM6A	0.001	0.9
KDR	10.0	0.0
KEAP1	10.0	0.0
KIT	0.01	0.3
KLF5	10.0	0.0
KMT2A	0.01	0.7
KMT2B	1.0	0.0
KMT2C	0.1	0.7
KMT2D	1.0	0.0
KRAS	1.0	0.0
LPP	10.0	0.0
LRP1B	10.0	0.0
MACF1	0.0001	0.1
MAP2K1	10.0	0.05
MAP2K4	1.0	0.05
MAP3K1	0.1	0.3
MAP3K13	0.1	0.0
MDM2	10.0	0.0
MDM4	0.1	0.5
MECOM	10.0	0.0
MED12	1.0	0.1
MET	0.001	0.5
MGA	0.1	0.3
MITF	0.1	0.1
MSI2	0.1	0.5
MTOR	0.1	0.5
MYC	0.0001	0.5
MYCL	0.0001	0.7
MYH9	0.1	0.5
NCOA2	0.01	0.0
NCOR1	0.01	0.5
NCOR2	0.0001	0.9
NF1	0.01	1.0
NF2	0.01	0.7
NFATC2	10.0	0.05
NFE2L2	10.0	0.0
NIPBL	10.0	0.9
NKX2-1	0.1	0.0
NOTCH1	1.0	1.0
NOTCH2	1.0	0.1
NRAS	0.0001	0.05
NRG1	0.001	0.05
NSD1	0.0001	0.0
NTRK1	0.001	1.0
NTRK3	0.1	0.9
NUTM1	0.01	1.0
PBRM1	0.0001	0.3
PBX1	0.001	0.3
PDGFRA	0.1	0.5
PIK3CA	1.0	0.0
PIK3CB	0.1	1.0
PIK3CG	1.0	0.5
PIK3R1	10.0	0.0
PLXNB2	1.0	0.5
POLE	0.1	0.3
POLQ	10.0	0.05
PPM1D	0.0001	0.0
PPP2R1A	10.0	0.0
PRDM1	0.0001	0.0
PREX2	1.0	0.1
PSIP1	10.0	0.1
PTEN	1.0	0.0
PTPN13	10.0	0.1
PTPRB	0.1	0.5
PTPRC	10.0	0.05
PTPRK	0.001	0.3
PTPRT	10.0	0.1
RAC1	0.1	1.0
RAD21	0.01	0.5
RAF1	0.001	0.5
RANBP2	0.01	0.3
RARA	1.0	0.1
RASA1	0.01	0.05
RB1	0.001	0.1
RBM10	1.0	0.0
RNF43	1.0	0.5
ROS1	1.0	0.5
RPL22	0.0001	0.3
RUNX1T1	0.001	1.0
SALL4	0.1	0.0
SCAF4	1.0	0.05
SETBP1	10.0	0.05
SETD2	1.0	0.0
SMAD4	10.0	0.0
SMARCA4	1.0	0.0
SOS1	0.1	0.7
SOX17	0.1	0.5
SOX2	1.0	0.0
SOX9	0.0001	0.5
SPEN	0.01	0.9
SPOP	0.001	0.7
STAG2	0.01	0.1
STIL	1.0	1.0
STK11	1.0	0.1
TCF7L2	1.0	0.3
TERT	0.0001	0.3
TET1	1.0	0.7
TP53	1.0	0.0
TP63	1.0	0.0
TRRAP	0.1	0.7
TSC1	0.001	0.1
UBR5	0.1	0.7
UNCX	1.0	0.1
USP6	0.01	0.9
USP9X	1.0	0.0
VHL	0.001	0.9
WWTR1	0.1	0.5
ZBTB16	0.1	0.7
ZFHX3	0.01	0.05
ZNF521	0.1	0.5
