	alpha	l1_ratio
ABL2	1.0	0.1
ACVR2A	0.1	0.5
AFF3	1.0	0.05
ALK	0.01	0.9
AMER1	0.001	0.9
APC	0.1	0.7
ARHGAP35	0.01	0.9
ARID1A	0.1	0.1
ARID1B	0.001	0.9
ARID2	0.01	0.3
ARNT	1.0	0.1
ASXL1	0.0001	0.5
ASXL2	0.1	1.0
ATF7IP	0.1	0.9
ATM	0.001	0.3
ATR	0.0001	0.05
ATRX	0.1	0.1
BAP1	0.1	0.3
BCL6	0.1	0.3
BCL9	1.0	0.05
BCL9L	1.0	0.3
BCOR	1.0	1.0
BCORL1	0.1	0.1
BRAF	0.1	0.1
BRCA2	0.1	0.1
BRD4	1.0	0.1
CACNA1A	0.1	0.3
CAMTA1	10.0	0.0
CARD11	0.1	0.5
CASP8	10.0	0.0
CCND1	1.0	0.1
CCND2	10.0	0.0
CCNE1	1.0	0.3
CD79B	1.0	0.1
CDH1	0.1	0.1
CDH11	0.1	1.0
CDK12	10.0	0.0
CDK4	1.0	0.3
CDK6	1.0	0.1
CDKN1A	0.01	0.7
CDKN1B	0.0001	0.9
CDKN2A	0.1	0.1
CHD3	0.1	0.9
CHD4	1.0	0.1
CHD8	0.1	0.7
CIC	0.1	0.05
CLTC	1.0	1.0
CREBBP	0.001	0.9
CTCF	0.01	0.5
CTNNB1	10.0	0.0
CUX1	0.1	0.3
DDR2	1.0	0.05
DDX5	1.0	0.1
DEK	1.0	0.1
DICER1	1.0	0.9
DNMT1	0.0001	0.0
EGFR	1.0	0.1
ELF3	0.1	1.0
ELK4	1.0	0.1
EP300	0.001	0.05
ERBB2	1.0	0.1
ERBB3	1.0	0.1
ERBB4	0.1	0.5
ERCC2	0.1	0.0
ESR1	0.1	1.0
ETV1	10.0	0.0
ETV5	1.0	0.1
EZH2	1.0	0.05
FAS	0.1	0.5
FAT1	0.1	0.3
FAT4	0.1	0.5
FBXW7	0.1	0.05
FCGR2B	1.0	0.1
FCRL4	1.0	0.05
FGFR1	1.0	0.1
FGFR2	0.1	0.7
FGFR3	1.0	0.1
FGFR4	1.0	0.05
FHIT	0.1	0.05
FLT4	1.0	0.05
FOXA1	1.0	0.05
FOXL2	0.1	0.9
FOXO1	1.0	0.1
FOXO3	10.0	0.0
FUBP1	0.1	0.3
GATA2	0.0001	0.9
GATA3	10.0	0.0
GNAS	1.0	0.1
GRIN2A	0.1	0.5
GTF2I	0.1	0.9
H3F3A	0.1	0.3
HEY1	1.0	0.05
HIST1H3B	0.1	0.3
HLF	1.0	0.1
HMGA2	1.0	0.05
IDH1	0.1	0.1
IDH2	0.1	0.3
IKBKB	1.0	0.1
IKZF3	1.0	0.1
IL7R	1.0	0.05
INPPL1	0.1	0.3
IRS4	1.0	0.1
JAK1	1.0	0.05
JAK3	0.1	0.3
KANSL1	0.0001	0.05
KAT6A	1.0	0.1
KDM5A	0.1	0.9
