	alpha	l1_ratio
ABL2	0.1	0.1
ACVR2A	0.1	0.5
AFF3	1.0	0.1
ALK	0.1	0.1
AMER1	0.1	0.9
APC	1.0	0.0
ARHGAP35	0.001	0.05
ARID1A	1.0	0.0
ARID1B	1.0	0.1
ARID2	0.1	0.7
ARNT	10.0	0.0
ASXL1	0.0001	0.3
ASXL2	0.1	0.9
ATF7IP	1.0	0.1
ATM	0.01	1.0
ATR	10.0	0.0
ATRX	0.1	0.1
BAP1	0.1	0.05
BCL6	0.1	0.3
BCL9	0.1	0.3
BCL9L	1.0	0.3
BCOR	0.1	0.9
BCORL1	0.0001	0.7
BRAF	0.1	0.3
BRCA2	0.1	0.3
BRD4	1.0	0.3
CACNA1A	0.1	0.1
CAMTA1	0.1	0.05
CARD11	0.01	1.0
CASP8	10.0	0.0
CCND1	0.1	0.1
CCND2	0.1	0.7
CCNE1	1.0	0.0
CD79B	1.0	0.05
CDH1	0.1	0.5
CDH11	1.0	0.1
CDK12	0.1	1.0
CDK4	0.1	0.5
CDK6	0.0001	0.3
CDKN1A	1.0	0.1
CDKN1B	0.1	0.5
CDKN2A	0.01	0.3
CHD3	1.0	0.1
CHD4	0.1	0.9
CHD8	0.1	0.5
CIC	0.001	0.0
CLTC	0.001	0.05
CREBBP	1.0	1.0
CTCF	0.1	0.9
CTNNB1	1.0	0.0
CUX1	0.1	0.3
DDR2	0.001	1.0
DDX5	1.0	0.05
DEK	0.1	0.5
DICER1	1.0	0.05
DNMT1	0.1	0.9
EGFR	0.1	0.7
ELF3	10.0	0.0
ELK4	1.0	0.05
EP300	1.0	0.1
ERBB2	1.0	0.1
ERBB3	0.1	0.9
ERBB4	0.1	0.9
ERCC2	0.01	0.7
ESR1	0.01	0.7
ETV1	0.001	0.3
ETV5	0.1	0.3
EZH2	0.1	0.7
FAS	0.1	0.3
FAT1	0.1	0.7
FAT4	0.1	1.0
FBXW7	0.1	0.3
FCGR2B	0.1	0.1
FCRL4	10.0	0.0
FGFR1	0.1	0.9
FGFR2	0.01	0.0
FGFR3	10.0	0.0
FGFR4	0.1	0.9
FHIT	1.0	0.1
FLT4	1.0	0.1
FOXA1	0.001	1.0
FOXL2	0.1	0.1
FOXO1	0.1	0.5
FOXO3	0.001	0.9
FUBP1	0.1	0.5
GATA2	1.0	0.3
GATA3	0.1	0.9
GNAS	10.0	0.0
GRIN2A	0.1	0.5
GTF2I	0.0001	0.9
H3F3A	1.0	0.1
HEY1	10.0	0.0
HIST1H3B	0.1	0.3
HLF	0.1	0.3
