gene	classification
ABI1	TSG
ABL1	Oncogene
ABL2	Oncogene
ACKR3	Oncogene
ACVR1	Oncogene
ACVR1B	TSG
ACVR2A	TSG
AFDN	Oncogene
AFF3	Oncogene
AFF4	Oncogene
AJUBA	TSG
AKT1	Oncogene
AKT2	Oncogene
ALK	Oncogene
AMER1	TSG
APC	TSG
AR	Oncogene
ARHGAP26	TSG
ARHGAP35	TSG
ARHGEF12	TSG
ARID1A	TSG
ARID1B	TSG
ARID2	TSG
ARNT	Oncogene, TSG
ASXL1	TSG
ASXL2	TSG
ATF1	Oncogene
ATF7IP	TSG
ATM	TSG
ATP1A1	Oncogene, TSG
ATP2B3	TSG
ATR	TSG
ATRX	TSG
ATXN3	TSG
AXIN1	TSG
AXIN2	TSG
B2M	TSG
BAP1	TSG
BARD1	TSG
BAX	TSG
BCL10	TSG
BCL11A	Oncogene
BCL11B	Oncogene, TSG
BCL2	Oncogene
BCL3	Oncogene
BCL6	Oncogene
BCL9	Oncogene
BCL9L	Oncogene, TSG
BCOR	TSG
BCORL1	Oncogene, TSG
BIRC3	Oncogene, TSG
BRAF	Oncogene
BRCA1	TSG
BRCA2	TSG
BRD3	Oncogene
BRD4	Oncogene
BRD7	TSG
BTG1	TSG
BTK	Oncogene, TSG
CACNA1A	Oncogene
CACNA1D	Oncogene
CALR	Oncogene
CAMTA1	TSG
CARD11	Oncogene
CARS	TSG
CASP8	TSG
CBFA2T3	TSG
CBFB	TSG
CBL	Oncogene
CBLB	TSG
CBLC	Oncogene, TSG
CCDC6	TSG
CCNB1IP1	TSG
CCND1	Oncogene
CCND2	Oncogene
CCND3	Oncogene
CCNE1	Oncogene
CD274	TSG
CD74	Oncogene
CD79A	Oncogene
CD79B	Oncogene
CDC73	TSG
CDH1	TSG
CDH11	TSG
CDK12	TSG
CDK4	Oncogene
CDK6	Oncogene
CDKN1A	TSG
CDKN1B	TSG
CDKN2A	TSG
CDKN2C	TSG
CDX2	TSG
CEBPA	TSG
CHD3	TSG
CHD4	Oncogene
CHD8	TSG
CHEK2	TSG
CIC	TSG
CIITA	TSG
CLTC	TSG
CLTCL1	TSG
CNBP	TSG
CNOT3	TSG
CREB1	Oncogene
CREB3L1	TSG
CREB3L2	Oncogene
CREBBP	TSG
CRLF2	Oncogene
CRTC1	Oncogene
CSF1R	Oncogene
CSF3R	Oncogene
CTCF	TSG
CTNNB1	Oncogene
CTNND1	TSG
CUL1	Oncogene
CUL3	TSG
CUX1	Oncogene, TSG
CXCR4	Oncogene
CYLD	TSG
DAXX	TSG
DAZAP1	TSG
DDIT3	Oncogene
DDR2	Oncogene
DDX10	TSG
DDX3X	TSG
DDX5	Oncogene
DDX6	Oncogene
DEK	Oncogene
DICER1	TSG
DNM2	TSG
DNMT1	Oncogene
DNMT3A	TSG
DROSHA	TSG
EBF1	TSG
EEF1A1	Oncogene
EGFR	Oncogene
EIF1AX	Oncogene
EIF3E	TSG
ELF3	TSG
ELF4	Oncogene, TSG
ELK4	Oncogene
ELL	TSG
EP300	TSG
EPAS1	Oncogene, TSG
EPHA2	TSG
EPS15	TSG
ERBB2	Oncogene
ERBB3	Oncogene
ERBB4	Oncogene, TSG
ERCC2	Oncogene
ERG	Oncogene
ESR1	Oncogene, TSG
ETNK1	TSG
ETV1	Oncogene
ETV4	Oncogene
ETV5	Oncogene
ETV6	TSG
EWSR1	Oncogene
EZH2	Oncogene
FAS	TSG
FAT1	TSG
FAT4	TSG
FBXO11	TSG
FBXW7	TSG
FCGR2B	Oncogene
FCRL4	Oncogene
FES	Oncogene, TSG
FEV	Oncogene
FGFR1	Oncogene
FGFR2	Oncogene
FGFR3	Oncogene
FGFR4	Oncogene
FHIT	TSG
FLI1	Oncogene
FLT3	Oncogene
FLT4	Oncogene
FOXA1	Oncogene
FOXA2	TSG
FOXL2	Oncogene
FOXO1	Oncogene, TSG
FOXO3	Oncogene, TSG
FOXO4	Oncogene, TSG
FOXP1	Oncogene
FSTL3	Oncogene
FUBP1	Oncogene
FUS	TSG
GATA1	TSG
GATA2	Oncogene
GATA3	TSG
GNA11	Oncogene
GNAQ	Oncogene
GNAS	Oncogene
GPS2	TSG
GRIN2A	TSG
GRIN2D	Oncogene
GTF2I	Oncogene
H3F3A	Oncogene
H3F3B	Oncogene
HEY1	Oncogene
HIF1A	Oncogene
HIP1	Oncogene
HIST1H3B	Oncogene
HLA-A	TSG
