gene	classification
CPD	neither
NRCAM	neither
NRAP	neither
NTNG1	neither
SETD2	TSG
NIPBL	neither
SPOP	Oncogene
PCDH18	neither
TMTC1	neither
ANKRD20A8P	neither
INPPL1	neither
DNAH17	neither
PDE1C	neither
KMT2A	neither
IGSF1	neither
ADAMTSL3	neither
COL12A1	neither
ATP13A4	neither
KCND2	neither
TRPC7	neither
ANKRD30B	neither
AFF2	neither
SHROOM2	neither
NLGN4X	neither
HECW1	neither
SP140	neither
DACH2	neither
DSG1	neither
TNR	neither
NCKAP5	neither
ITGAX	neither
ZNF292	neither
NLRP12	neither
GRIN2B	neither
CHEK2P2	neither
AMER3	neither
CSF2RB	neither
CACNA1G	neither
NLRP1	neither
NLRP3	neither
NLGN1	neither
AGBL1	neither
COL1A2	neither
CD1E	neither
HIVEP2	neither
ADAMTS12	neither
KLHL1	neither
HTT	neither
LYST	neither
PARD3B	neither
CACNA1A	neither
OR5L2	neither
CEP290	neither
DMXL2	neither
KIAA2022	neither
ASH1L	neither
COL4A2	neither
MUC2	neither
SLC39A12	neither
XYLT1	neither
PCDHA5	neither
PCDHB4	neither
TNC	neither
JAKMIP2	neither
CDH7	neither
CCND1	neither
SYNPO2	neither
GLI2	neither
MS4A14	neither
ALMS1	neither
SCN11A	neither
FAT2	neither
TP53	TSG
MYOF	neither
ADCY10	neither
SMCHD1	neither
CENPF	neither
TRPC5	neither
ZAN	neither
ITPR2	neither
TENM2	neither
SRCAP	neither
CNTNAP3	neither
SIPA1L2	neither
GUCY2C	neither
PLA2R1	neither
OR2L13	neither
NTRK3	neither
MDGA2	neither
PHLDB2	neither
HDAC9	neither
HCRTR2	neither
OR8U1	neither
TEK	neither
RNF17	neither
MSR1	neither
MAP2	neither
GABRA4	neither
MKI67	neither
CSMD2	neither
THEMIS	neither
NCKAP1L	neither
DNAH3	neither
PCDH15	neither
KALRN	neither
GHR	neither
ZNF229	neither
PRB2	neither
CCDC102B	neither
CNTLN	neither
RUNX1T1	neither
ALPK3	neither
FOXA1	neither
NLRP11	neither
DNHD1	neither
DNAH11	neither
CNGB3	neither
FAT4	neither
KIAA1549L	neither
SELP	neither
ERN2	neither
ZNF804A	neither
AKAP13	neither
KIF21B	neither
SLITRK4	neither
CHRM3	neither
TRPS1	neither
ACTN2	neither
IL1RAPL1	neither
ZNF469	neither
LPA	neither
KCNH5	neither
OR4C15	neither
DUOX2	neither
FASN	neither
OR2W5	neither
CTNNB1	Oncogene
DOCK11	neither
KIAA1217	neither
CEP350	neither
SORCS3	neither
ANO3	neither
ZZEF1	neither
PSG9	neither
FRY	neither
GABRA2	neither
SPTAN1	neither
TAF1L	neither
NPHS1	neither
VPS13A	neither
TRANK1	neither
ROBO4	neither
FAM47A	neither
PLCE1	neither
KDM5A	neither
PTPRT	neither
CALCR	neither
CHD6	neither
COL15A1	neither
OR4M1	neither
DZIP3	neither
SCAF4	neither
VPS13D	neither
XIST	neither
NCAM2	neither
COL4A4	neither
NFE2L2	Oncogene
KIF4B	neither
KMT2B	neither
HSP90AA1	neither
AIM1	neither
LRRC7	neither
UGT2B15	neither
ROS1	neither
TRO	neither
KCNB1	neither
NOS1	neither
ARAP2	neither
AXIN1	TSG
USP6	neither
POU6F2	neither
SLC22A9	neither
PCSK1	neither
ZNF536	neither
ZPLD1	neither
RAI1	neither
CUX2	neither
MAGEL2	neither
BCHE	neither
DPP6	neither
FMO3	neither
CYP4B1	neither
REV3L	neither
IDH1	Oncogene
FANCM	neither
MYT1L	neither
CADM2	neither
PPP1R3A	neither
DROSHA	neither
FBN3	neither
SCN9A	neither
PTPRO	neither
SMARCA2	neither
ZNF462	neither
ADAM29	neither
PDZRN3	neither
OR4K1	neither
CIT	neither
SGSM1	neither
ADAMDEC1	neither
STAB1	neither
CDH9	neither
HELZ2	neither
RTTN	neither
SPHKAP	neither
NLRP4	neither
DNAJC13	neither
DSG2	neither
ANK1	neither
INO80	neither
SIM1	neither
POTEH	neither
CILP2	neither
MYH7	neither
DCHS1	neither
OSMR	neither
PITPNM1	neither
LRRTM4	neither
MET	Oncogene
MRC2	neither
KDM3B	neither
ZNF804B	neither
ADH1C	neither
DSCAM	neither
ATP10B	neither
C2orf16	neither
GPR98	neither
GABRG1	neither
SLCO6A1	neither
SPATA31D1	neither
KEAP1	neither
LRP1B	neither
EVC2	neither
ZNF711	neither
KRT9	neither
GNAQ	Oncogene
CDH10	neither
KIAA0947	neither
GRIA1	neither
COL25A1	neither
PDE10A	neither
PXDNL	neither
ASXL3	neither
SRRM2	neither
CSMD1	neither
SDK1	neither
SH3RF2	neither
RAG1	neither
RBM10	neither
TOP2A	neither
PDE3A	neither
CMYA5	neither
TET1	neither
KLHL4	neither
PCNX	neither
USP34	neither
MYO18B	neither
MUC3A	neither
