Gene Symbol	Role in Cancer
ABI1	TSG
ABL1	oncogene
ABL2	oncogene
ACKR3	oncogene
ACVR1	oncogene
ACVR2A	TSG
AFDN	oncogene
AFF3	oncogene
AFF4	oncogene
AKT1	oncogene
AKT2	oncogene
ALK	oncogene
AMER1	TSG
APC	TSG
AR	oncogene
ARHGAP26	TSG
ARHGAP35	TSG
ARHGEF12	TSG
ARID1A	TSG
ARID1B	TSG
ARID2	TSG
ARNT	oncogene, TSG
ASXL1	TSG
ATF1	oncogene
ATM	TSG
ATP1A1	oncogene, TSG
ATP2B3	TSG
ATR	TSG
ATRX	TSG
AXIN1	TSG
AXIN2	TSG
B2M	TSG
BAP1	TSG
BARD1	TSG
BAX	TSG
BCL10	TSG
BCL11A	oncogene
BCL11B	oncogene, TSG
BCL2	oncogene
BCL3	oncogene
BCL6	oncogene
BCL9	oncogene
BCL9L	oncogene, TSG
BCOR	TSG
BCORL1	oncogene, TSG
BIRC3	oncogene, TSG
BRAF	oncogene
BRCA1	TSG
BRCA2	TSG
BRD3	oncogene
BRD4	oncogene
BTG1	TSG
BTK	oncogene, TSG
CACNA1D	oncogene
CALR	oncogene
CAMTA1	TSG
CARD11	oncogene
CARS	TSG
CASP8	TSG
CBFA2T3	TSG
CBFB	TSG
CBL	oncogene, TSG
CBLB	TSG
CBLC	oncogene, TSG
CCDC6	TSG
CCNB1IP1	TSG
CCND1	oncogene
CCND2	oncogene
CCND3	oncogene
CCNE1	oncogene
CD274	TSG
CD74	oncogene
CD79A	oncogene
CD79B	oncogene
CDC73	TSG
CDH1	TSG
CDH11	TSG
CDK12	TSG
CDK6	oncogene
CDKN1B	TSG
CDKN2A	TSG
CDKN2C	TSG
CDX2	TSG
CEBPA	TSG
CHD4	oncogene
CIC	TSG
CIITA	TSG
CLTC	TSG
CLTCL1	TSG
CNBP	TSG
CNOT3	TSG
CREB1	oncogene
CREB3L1	TSG
CREB3L2	oncogene
CREBBP	TSG
CRLF2	oncogene
CRTC1	oncogene
CSF3R	oncogene
CTCF	TSG
CTNNB1	oncogene
CUX1	oncogene, TSG
CXCR4	oncogene
CYLD	TSG
DAXX	oncogene, TSG
DDIT3	oncogene
DDR2	oncogene
DDX10	TSG
DDX3X	TSG
DDX5	oncogene
DDX6	oncogene
DEK	oncogene
DICER1	TSG
DNM2	TSG
DNMT3A	TSG
DROSHA	TSG
EBF1	TSG
EGFR	oncogene
EIF3E	TSG
ELF4	oncogene, TSG
ELK4	oncogene
ELL	TSG
EP300	TSG
EPAS1	oncogene, TSG
EPS15	TSG
ERBB2	oncogene
ERBB3	oncogene
ERBB4	oncogene, TSG
ERG	oncogene
ESR1	oncogene, TSG
ETNK1	TSG
ETV1	oncogene
ETV4	oncogene
ETV5	oncogene
ETV6	TSG
EWSR1	oncogene
EZH2	oncogene, TSG
FAS	TSG
FAT1	TSG
FAT4	TSG
FBXO11	TSG
FBXW7	TSG
FCGR2B	oncogene
FCRL4	oncogene
FES	oncogene, TSG
FEV	oncogene
FGFR1	oncogene
FGFR2	oncogene
FGFR3	oncogene
FGFR4	oncogene
FHIT	TSG
FLI1	oncogene
FLT3	oncogene
FLT4	oncogene
FOXA1	oncogene
FOXL2	oncogene, TSG
FOXO1	oncogene, TSG
FOXO3	oncogene, TSG
FOXO4	oncogene, TSG
FOXP1	oncogene
FSTL3	oncogene
FUBP1	oncogene
FUS	TSG
GATA1	oncogene, TSG
GATA2	oncogene
GATA3	TSG
GNA11	oncogene
GNAQ	oncogene
GNAS	oncogene
GRIN2A	TSG
H3F3A	oncogene
H3F3B	oncogene
HEY1	oncogene
HIF1A	oncogene
HIP1	oncogene
HIST1H3B	oncogene
HLF	oncogene
HMGA1	oncogene
HMGA2	oncogene
HNF1A	TSG
HNRNPA2B1	oncogene
HOXA11	oncogene, TSG
HOXA13	oncogene
HOXA9	oncogene, TSG
HOXC11	oncogene
HOXC13	oncogene
HOXD11	oncogene
HOXD13	oncogene
HRAS	oncogene
IDH1	oncogene
IDH2	oncogene
IKBKB	oncogene
IKZF1	TSG
IKZF3	oncogene, TSG
IL6ST	oncogene
IL7R	oncogene
IRF4	oncogene, TSG
IRS4	oncogene, TSG
JAK1	TSG
JAK2	oncogene
JAK3	oncogene
JUN	oncogene
KAT6A	oncogene
KAT6B	TSG
KCNJ5	oncogene
KDM5A	oncogene
KDM5C	TSG
KDM6A	TSG
KDR	oncogene
